date,country,new_cases_avg_per_pop,new_deaths_avg_per_pop
2022-04-03,Ethiopia,0.23996114607295185,0.01454309976199708
2022-04-04,Ethiopia,0.2266299712911212,0.019390799682662774
2022-04-05,Ethiopia,0.2423849960332847,0.019390799682662774
2022-04-06,Ethiopia,0.25692809579528175,0.019390799682662774
2022-04-07,Ethiopia,0.2678354206167796,0.013331174781830659
2022-04-08,Ethiopia,0.2678354206167796,0.009695399841331387
2022-04-09,Ethiopia,0.2654115706564467,0.006059624900832118
2022-04-10,Ethiopia,0.27995467041844385,0.006059624900832118
2022-04-11,Ethiopia,0.30661701998210517,0.0012119249801664234
2022-04-12,Ethiopia,0.277530820458111,0.0012119249801664234
2022-04-13,Ethiopia,0.2848023703391095,0.0012119249801664234
2022-04-14,Ethiopia,0.22541804631095477,0.0012119249801664234
2022-04-15,Ethiopia,0.27510697049777816,0.0012119249801664234
2022-04-16,Ethiopia,0.2835904453589431,0
2022-04-17,Ethiopia,0.27025927057711246,0
2022-04-18,Ethiopia,0.23268959619195329,0
2022-04-19,Ethiopia,0.23874922109278543,0
2022-04-20,Ethiopia,0.24359692101345112,0.0012119249801664234
2022-04-21,Ethiopia,0.2714711955572789,0.0012119249801664234
2022-04-22,Ethiopia,0.20966302156879127,0.0012119249801664234
2022-04-01,Europe,935.1202188472224,2.1261779387948354
2022-04-02,Europe,913.911465158295,2.1214094406814534
2022-04-03,Europe,907.614758769536,2.1275131182665823
2022-04-04,Europe,858.8461841244296,2.101953968378854
2022-04-05,Europe,826.5069928791698,2.161274084909328
2022-04-06,Europe,829.3429140771606,2.132663096229035
2022-04-07,Europe,729.5929909224136,2.0388190533576744
2022-04-08,Europe,740.803348507126,2.1080576459639833
2022-04-09,Europe,706.5477932400604,2.0285190974327687
2022-04-10,Europe,685.8124560438293,2.0029599475450404
2022-04-11,Europe,710.1226409057008,2.08593181471789
2022-04-12,Europe,690.793819912993,2.0054395665639992
2022-04-13,Europe,630.4204375192351,2.029854276904516
2022-04-14,Europe,615.0752198504467,2.015739522488905
2022-04-15,Europe,561.3340553727054,1.8002034077640312
2022-04-16,Europe,548.5226268614438,1.7715924190837384
2022-04-17,Europe,539.7602254682173,1.7555702654227745
2022-04-18,Europe,465.55133190836784,1.5274453156785721
2022-04-19,Europe,461.35810540738413,1.576656216208676
2022-04-20,Europe,468.3798142493016,1.6705002590800366
2022-04-21,Europe,465.39492517024894,1.8244273781800127
2022-04-22,Europe,484.69532591420096,2.090318832982202
2022-04-01,European Union,1309.8429812053598,2.2965634186987423
2022-04-02,European Union,1276.6544612259424,2.30774435063009
2022-04-03,European Union,1268.3649182920415,2.329786759294746
2022-04-04,European Union,1223.2476217626688,2.3083832610261665
2022-04-05,European Union,1178.711733693726,2.39687235088283
2022-04-06,European Union,1203.1982940785747,2.4521381001434897
2022-04-07,European Union,1050.863527252334,2.276118286024279
2022-04-08,European Union,1083.5348492661271,2.3639684654848647
2022-04-09,European Union,1027.8272934665802,2.2508813253792375
2022-04-10,European Union,994.6343011143903,2.2224498127538115
2022-04-11,European Union,1053.2597606928207,2.328508938502592
2022-04-12,European Union,1020.3111515671304,2.2294778271106583
2022-04-13,European Union,924.9521776766494,2.085403532795297
2022-04-14,European Union,905.6455833279948,2.05505528898164
2022-04-15,European Union,830.5135542117173,1.8164222560468841
2022-04-16,European Union,810.0438234870046,1.7838378258469574
2022-04-17,European Union,796.1765927953516,1.7688234315391482
