date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-04-18,Europe,52.202558523198384,5.007427342881615
2020-04-18,Africa,0.7656854779521216,0.03280616506459716
2020-04-18,North America,52.21759745585052,4.099731713359065
2020-04-18,South America,10.072503428228737,0.7986369028624674
2020-04-18,Oceania,NA,NA
2020-04-19,Asia,2.5838813665866787,0.07634013271024873
2020-04-19,Europe,43.77392526263473,4.902935434742119
2020-04-19,Africa,0.8005745741319312,0.03447250995676717
2020-04-19,North America,52.15325297151788,4.123107799427478
2020-04-19,South America,10.538320088389655,0.8226684337400272
2020-04-19,Oceania,NA,NA
2020-04-20,Asia,2.6605904407357204,0.07713950582763353
2020-04-20,Europe,43.41191504536456,4.802821147526499
2020-04-20,Africa,0.8406709980997722,0.03384763062220342
2020-04-20,North America,52.922253905995234,4.177330679483074
2020-04-20,South America,10.581115965294899,0.8664519078046224
2020-04-20,Oceania,NA,NA
2020-04-21,Asia,2.726415742440369,0.07658609366944405
2020-04-21,Europe,41.46482539096192,4.815002353575548
2020-04-21,Africa,0.8516063864546379,0.03280616506459716
2020-04-21,North America,52.45521416578304,4.2007067655514865
2020-04-21,South America,11.149313530975288,0.8822534623542508
2020-04-21,Oceania,NA,NA
2020-04-22,Asia,2.7499050140435224,0.07756993750622534
2020-04-22,Europe,41.115186711085315,4.558626032511976
2020-04-22,Africa,0.8980557503238772,0.03426421684524592
2020-04-22,North America,53.570518560882135,4.188416246072217
2020-04-22,South America,11.198693388942875,0.9000302112225828
2020-04-22,Oceania,NA,NA
2020-04-23,Asia,2.761926355924194,0.07713950582763353
2020-04-23,Europe,38.197026536960074,4.325089472790369
2020-04-23,Africa,0.925342147933161,0.034368363401006546
2020-04-23,North America,54.37615006321927,4.258062523121405
2020-04-23,South America,12.206371690534802,1.0201878656103818
2020-04-23,Oceania,NA,NA
2020-04-24,Asia,2.7679523994244795,0.07763142774602418
2020-04-24,Europe,38.09691224974446,4.189763886839218
2020-04-24,Africa,0.953774157655812,0.03197299261851215
2020-04-24,North America,54.108650521611665,4.2925241757789605
2020-04-24,South America,16.19428901999726,1.099524837411641
2020-04-24,Oceania,NA,NA
2020-04-25,Asia,2.7630024351206735,0.07800036918481716
2020-04-25,Europe,37.424471609568066,4.099737160882968
2020-04-25,Africa,0.9490875626465838,0.0325978719530759
2020-04-25,North America,55.07429976775731,4.236132380521142
2020-04-25,South America,17.885384555860615,1.1831413969034246
2020-04-25,Oceania,NA,NA
2020-04-26,Asia,2.7441864217422314,0.07581746567195866
2020-04-26,Europe,35.87098717562532,3.9659342256879477
2020-04-26,Africa,0.9840808053821541,0.031348113283948396
2020-04-26,North America,55.11912401526994,4.091056052550171
2020-04-26,South America,18.724842141309622,1.2624783687046837
2020-04-26,Oceania,NA,NA
2020-04-27,Asia,2.6503215706893157,0.07581746567195866
2020-04-27,Europe,35.95701694334672,3.8387928875510013
2020-04-27,Africa,1.0035562113093912,0.031348113283948396
2020-04-27,North America,53.851754565437155,3.9180248175283148
2020-04-27,South America,19.627176745904023,1.3783564354019582
2020-04-27,Oceania,NA,NA
